name,description,elevation,lat,lng,Nearby City,Hydro #,Basin #,Owner,Maintenance,Operator,Map #,Collect #,County Name,Basin Name,Agency Name,Hydro Area,sensors,
GYR,GRAY ROCK LAKES,6200,41.217,-122.417,DUNSMUIR,5,6501, , ,33,3,0,SISKIYOU,SACRAMENTO R,Mount Shasta Ranger District,SACRAMENTO RIVER,"3,18,82",
KIG,KLAMATH RIVER BELOW IRON GATE DAM,2162,41.9279174804688,-122.444190979004,YREKA,1,201, , ,58,3,0,SISKIYOU,KLAMATH R,US Geological Survey,NORTH COAST,"1,5,14,20,62,115,146",
LSH,LITTLE SHASTA,6200,41.808,-122.195,,1,401, , ,17,3,0,SISKIYOU,SHASTA R,Goosenest Ranger District,NORTH COAST,"3,18,82",
PBS,PARKS CK NR BIG SPRINGS,2596,41.5793418884277,-122.433090209961,GRENADA,1,401, , ,707,3,0,SISKIYOU,SHASTA R,CA Dept of Water Resources/North Region Office,NORTH COAST,"1,14,25",
PET,PETERSON FLAT,7150,41.3023,-122.5277,TRINITY CENTER,1,901,50,700,50,3,0,TRINITY,TRINITY R,US Bureau of Reclamation,NORTH COAST,"2,3,4,14,18,30,31,32,45,82",
RND,ROUND MOUNTAIN (CDF),5258,41.42,-121.458,MC CLOUD,5,6701, , ,3,4,0,SISKIYOU,PIT R,CAL FIRE,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,26,30,31,32,77,78",
SCT,SCOTT MOUNTAIN,5900,41.272,-122.718,CALLAHAN,1,601,50,700,50,3,0,SISKIYOU,SCOTT R,US Bureau of Reclamation,NORTH COAST,"2,3,4,14,18,30,31,32,45,82",
SYB,SAWYERS BAR,4500,41.3,-123.117,SAWYERS BAR,1,801, , ,44,2,0,SISKIYOU,SALMON R,US Forest Service,NORTH COAST,"2,4,9,10,11,12,13,14,26,30,31,32,77,78",
TLL,TULE LAKE,4035,41.967,-121.467,TULELAKE,1,201, , ,215,4,0,SISKIYOU,KLAMATH R,Tule Lake Irrigation District,NORTH COAST,"2",
WLC,WOLFORD CABIN,6150,41.2,-122.833,CALLAHAN,1,901, , ,16,3,0,TRINITY,TRINITY R,Salmon/Scott River Ranger District,NORTH COAST,"3,18,82",
YRK,YREKA,2625,41.7,-122.633,YREKA,1,201, , ,44,3,0,SISKIYOU,KLAMATH R,US Forest Service,NORTH COAST,"2",
LOG,LOG LAKE,5300,41.547,-123.1,FORT JONES,1,601, , ,999,2,0,SISKIYOU,SCOTT R,.None Specified,NORTH COAST,"3,18,82",
MED,MEDICINE LAKE,6700,41.5869,-121.6131,BARTLE,5,6701,50,700,50,4,0,SISKIYOU,PIT R,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,14,18,45,82",
MSC,MOUNT SHASTA CITY,3590,41.317,-122.317,MOUNT SHASTA CITY,5,6501, , ,40,3,0,SISKIYOU,SACRAMENTO R,National Weather Service,SACRAMENTO RIVER,"2,45",
MTS,MOUNT SHASTA,3545,41.313,-122.316,MOUNT SHASTA CITY,5,6501,700,700,700,3,0,SISKIYOU,SACRAMENTO R,CA Dept of Water Resources/Flood Management,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45,203",
MUM,MUMBO BASIN,5650,41.197,-122.523,MOUNT SHASTA CITY,1,901,50,700,50,3,0,TRINITY,TRINITY R,US Bureau of Reclamation,NORTH COAST,"2,3,4,14,18,30,31,32,45,82",
PME,PARKS CK BLW MWCD DIVERSION NR EDGEWOOD,3010,41.45293,-122.44748,EDGEWOOD,1,401, , ,707,3,2,SISKIYOU,SHASTA R,CA Dept of Water Resources/North Region Office,NORTH COAST,"1,14",
YCK,YREKA CREEK AT ANDERSON GRADE ROAD,2400,41.771958,-122.604346,YREKA,1,401, , ,910,2,33,SISKIYOU,SHASTA R,Shasta Valley Resource Conservation District ,NORTH COAST,"1,20",
